modality,algorithm,n_trials,n,mean,sd,median,q25,q75,min,max
Auditory,Adaptive,40,10,26.86417543020101,9.936993725211666,27.2915338007548,24.01506541117725,30.929626815863877,3.81062612153999,40.3559591441952
Auditory,Adaptive,60,10,30.12146023105539,7.605181411119003,28.456661782312352,25.52662046795695,33.1112809497941,21.3256144088632,48.1252306667996
Auditory,Adaptive,80,10,30.71335428964797,7.067202198890396,29.30466690872635,25.44937063764035,33.955470688868544,22.4916704560099,45.6888773090531
Auditory,Adaptive,100,10,32.288285460541,7.46670031737547,30.0985526458058,26.853044695976827,37.44335383581125,22.8041829679894,46.4806348286705
Auditory,Adaptive,120,10,32.14675677650905,5.92585494046758,31.4909841014544,27.63550537274435,36.8533799813962,23.0188294930517,42.0234882558
Auditory,Adaptive,140,10,32.26684930505705,6.0633759704499415,31.65608698074635,26.720880460180773,37.23039379572872,25.0880261670879,42.3100523619634
Auditory,Adaptive,160,10,32.25072997535517,7.3651667024156104,31.054369615229753,26.04392812638835,36.33697174632573,24.5022255651695,45.814697016311
Auditory,Adaptive,180,10,32.21683062995909,8.271631737848606,30.5568889247764,25.616306081648826,34.63994721176338,24.6985050543783,49.1457396273536
Auditory,Adaptive,200,10,32.0654606176956,8.461118269658709,30.030533952444898,25.049936741052527,37.137813319805126,23.8861066433337,49.8543824328205
Auditory,Fixed,40,10,33.42017988502797,13.631940372448044,34.0501970239687,28.927642639263023,44.4893136270971,2.96288106067951,47.5786083855403
Auditory,Fixed,60,10,33.561844749029916,6.730427827286247,34.543337974466695,29.292265187104725,35.6873884982576,23.353686683111,45.7431508050773
Auditory,Fixed,80,10,31.69676675947036,5.183017197336474,32.8094084515857,30.36589273250155,32.8202370644153,20.0224376024381,40.2546104936679
Auditory,Fixed,100,10,35.73471136849338,5.782069792706438,34.55477148835515,32.363121484531476,36.27345404814695,29.0494505806775,46.1907006572862
Auditory,Fixed,120,10,36.45810991663367,6.759476436332874,36.914620458833696,30.825347139905098,42.53802727306645,27.7900508613241,45.6460377061481
Auditory,Fixed,140,10,38.28770723366465,6.62838573303802,37.347529261657556,31.93904528035155,44.76074215554732,30.1706484198536,46.4856513046247
Auditory,Fixed,160,10,36.7149226587917,6.554185172835689,36.53086078955975,30.376363004894777,42.317625996424894,28.1096642676119,45.3961335274837
Auditory,Fixed,180,10,36.87706664399628,7.327966472107309,38.21264692036475,29.41026124983655,43.034372388603074,27.214464734608,46.8086593905595
Auditory,Fixed,200,10,37.99891291710309,7.18644901070351,39.2791870024531,32.154021296229324,43.11850390288612,26.4239816781652,47.9147310984234
Visual,Adaptive,40,10,38.92551955327685,15.188818462871915,43.7682011449805,26.622836792035674,49.336051332684875,13.4156445128887,60.0725083551711
Visual,Adaptive,60,10,40.057686583735986,16.786992489864197,41.5758250805453,25.44234709734745,54.75228479152082,17.4752932859755,61.9160440599413
Visual,Adaptive,80,10,41.43172283209712,16.332576806972806,42.40761581584485,26.199610937465728,54.21785775376257,20.067435990149,61.1602017980973
Visual,Adaptive,100,10,41.10464905249574,16.32976609381552,41.48896380784895,27.519097772543724,54.7033837336971,19.6677289567329,64.3023381264797
Visual,Adaptive,120,10,41.90175970311153,17.414988770631307,43.2806718987245,25.925294453234798,58.029216836656325,18.3893234288379,62.1978955583633
Visual,Adaptive,140,10,41.37552477974406,17.62891289361162,41.708137775423054,25.281620183052823,57.8961910921539,18.2382574651241,63.1375681216505
Visual,Adaptive,160,10,40.88257991798784,17.644589037452825,41.2472342587023,24.456442947906147,54.59290837773525,19.0263311211396,64.2052470919802
Visual,Adaptive,180,10,41.94242071546248,18.213532514367348,41.363597297340306,25.576659699140052,57.36206426656063,19.5198170622223,69.9851200806982
Visual,Adaptive,200,10,41.91022179055801,17.984634503586626,39.87044547624415,26.015758457718526,57.4492653983627,19.9205197809741,67.8790377421765
Visual,Fixed,40,10,28.734995423735423,19.570706879780438,32.29429916811525,9.480538513410112,44.4037371607851,2.96288105246523,54.6120656758727
Visual,Fixed,60,10,39.781027834731,19.69206007503872,34.38285644465565,25.832846928198272,45.66481884549285,19.4181999468571,83.7629331620153
Visual,Fixed,80,10,46.19614806514702,18.85579671329996,41.824857845968,32.817977329931495,47.375746113279774,28.9276426392631,91.1260576588274
Visual,Fixed,100,10,47.92887338029598,17.528210983937225,44.79488098559035,37.76427061527755,53.924696477051874,26.969479339093,87.8126456956932
Visual,Fixed,120,10,47.9406481344129,19.962320077617804,43.13532530037055,36.1170307241048,51.160558627514675,27.7879256642205,97.8079000691292
Visual,Fixed,140,10,49.47379332395644,20.073014172770794,46.350469284535706,36.2516586203595,53.487415050431046,30.1667461736209,100.533343301691
Visual,Fixed,160,10,48.99848137733224,19.352000473128616,45.53338783699855,37.12975403968868,52.2821350281839,31.7303778542283,98.141067492643
Visual,Fixed,180,10,49.011356545673614,18.57426354903503,45.55653172112715,37.206489817250855,55.05932348678713,30.7735988339014,94.1107728561346
Visual,Fixed,200,10,50.48145225277612,19.53284750393849,46.4723677324547,38.480710048892576,55.00509165169697,32.0906848193496,100.050284836777
