modality,algorithm,n_trials,n,shapiro_w,shapiro_p,is_normal
Auditory,Adaptive,40,10,0.9616094250696814,0.8040580239099109,TRUE
Auditory,Adaptive,60,10,0.8903432058983641,0.1710919299922693,TRUE
Auditory,Adaptive,80,10,0.962843902981853,0.8177502478852074,TRUE
Auditory,Adaptive,100,10,0.8311375064945685,0.03453291817314187,FALSE
Auditory,Adaptive,120,10,0.7954094661943643,0.012750190046351384,FALSE
Auditory,Adaptive,140,10,0.8219338608647702,0.026743518277046758,FALSE
Auditory,Adaptive,160,10,0.8472081179521271,0.05380707716394558,TRUE
Auditory,Adaptive,180,10,0.8750362516065705,0.11438155019755938,TRUE
Auditory,Adaptive,200,10,0.8830838172164278,0.14154931670481308,TRUE
Auditory,Fixed,40,10,0.9064529231891684,0.25750393466367466,TRUE
Auditory,Fixed,60,10,0.9465547814467355,0.6279548623694265,TRUE
Auditory,Fixed,80,10,0.9476146599819542,0.6403719704448638,TRUE
Auditory,Fixed,100,10,0.9761328221968303,0.9411738995976088,TRUE
Auditory,Fixed,120,10,0.9419643820621695,0.5750717319783887,TRUE
Auditory,Fixed,140,10,0.9517518711790124,0.6892536438770899,TRUE
Auditory,Fixed,160,10,0.9578552760629216,0.7611678327978557,TRUE
Auditory,Fixed,180,10,0.9652889593202962,0.8440652115131715,TRUE
Auditory,Fixed,200,10,0.9774221306804325,0.9498940144143555,TRUE
Visual,Adaptive,40,10,0.968494400375345,0.8765452709034315,TRUE
Visual,Adaptive,60,10,0.9024702426302276,0.23316220131544346,TRUE
Visual,Adaptive,80,10,0.8621457476613559,0.0808817530265215,TRUE
Visual,Adaptive,100,10,0.9432857420597306,0.590119421414656,TRUE
Visual,Adaptive,120,10,0.974090794322106,0.9259675649309129,TRUE
Visual,Adaptive,140,10,0.9438590605563277,0.5966961287115556,TRUE
Visual,Adaptive,160,10,0.9249326194283732,0.3999354342178107,TRUE
Visual,Adaptive,180,10,0.9356539434241723,0.5057408509536162,TRUE
Visual,Adaptive,200,10,0.9172797830857806,0.33482475387338784,TRUE
Visual,Fixed,40,10,0.9463367744145684,0.6254086492180769,TRUE
Visual,Fixed,60,10,0.9467862488110382,0.6306613582802297,TRUE
Visual,Fixed,80,10,0.9097576692379041,0.2793306125540094,TRUE
Visual,Fixed,100,10,0.9384618795295263,0.5360287964424115,TRUE
Visual,Fixed,120,10,0.9457500760946315,0.6185709895170806,TRUE
Visual,Fixed,140,10,0.9447898693410584,0.6074303181652926,TRUE
Visual,Fixed,160,10,0.9264788308168738,0.41416422490668203,TRUE
Visual,Fixed,180,10,0.9806773678533658,0.9686895641151025,TRUE
Visual,Fixed,200,10,0.9084042197767862,0.270208618190135,TRUE
