model,trial_block,n,mean_ai,sd_ai,se_ai,median_ai,min_ai,max_ai
ABS1,40,180,0.04022777777777777,0.44239997866582875,0.03297454751804166,0,-0.95,0.95
ABS1,60,180,0.02488888888888889,0.35827817426572767,0.02670447841708943,0.0165,-0.933,0.932
ABS1,80,180,0.01193888888888889,0.3169859127315706,0.023626734959253597,0,-0.95,0.8
ABS1,100,180,0.0085,0.29647622305673826,0.022098032948908573,0,-0.94,0.78
ABS1,120,180,0.010972222222222222,0.2864046133986667,0.02134733948763219,0.008,-0.883,0.8
ABS1,140,180,0.008461111111111114,0.27152388834666574,0.02023819572860692,0,-0.871,0.8
ABS1,160,180,0.007049999999999999,0.26007824939824525,0.019385088170787337,0,-0.874,0.738
ABS1,180,180,0.004355555555555555,0.25395758283535835,0.018928880620713167,0,-0.854,0.733
ABS1,200,180,0.003788888888888889,0.2529233546739815,0.01885179380494373,0,-0.828,0.74
REL1,40,180,0,0,0,0,0,0
REL1,60,180,0,0,0,0,0,0
REL1,80,180,0,0,0,0,0,0
REL1,100,180,0,0,0,0,0,0
REL1,120,180,0,0,0,0,0,0
REL1,140,180,0,0,0,0,0,0
REL1,160,180,0,0,0,0,0,0
REL1,180,180,0,0,0,0,0,0
REL1,200,180,0,0,0,0,0,0
REL2,40,180,0,0,0,0,0,0
REL2,60,180,0,0,0,0,0,0
REL2,80,180,0,0,0,0,0,0
REL2,100,180,0,0,0,0,0,0
REL2,120,180,0,0,0,0,0,0
REL2,140,180,0,0,0,0,0,0
REL2,160,180,0,0,0,0,0,0
REL2,180,180,0,0,0,0,0,0
REL2,200,180,0,0,0,0,0,0
