model,trial_block,n,mean_ai_abs,sd_ai_abs,se_ai_abs,median_ai_abs,min_ai_abs,max_ai_abs
ABS1,40,180,0.35265,0.2688647865818191,0.02003999798509736,0.3,0,0.95
ABS1,60,180,0.2673333333333333,0.23899748718905303,0.01781382092687859,0.193,0,0.933
ABS1,80,180,0.22388333333333332,0.22409737695372942,0.01670323228159779,0.1335,0,0.95
ABS1,100,180,0.20447777777777779,0.21430366528813266,0.015973252113720887,0.12,0,0.94
ABS1,120,180,0.1928277777777778,0.21156178569916284,0.0157688844754857,0.1,0,0.883
ABS1,140,180,0.1793611111111111,0.20358556226012126,0.015174371881704894,0.086,0,0.871
ABS1,160,180,0.16970555555555555,0.19679889906418174,0.01466852387348767,0.0755,0,0.874
ABS1,180,180,0.1625888888888889,0.19475805901638873,0.014516408637552033,0.078,0,0.854
ABS1,200,180,0.15888888888888889,0.19646359177367517,0.01464353154365687,0.061,0,0.828
REL1,40,180,0,0,0,0,0,0
REL1,60,180,0,0,0,0,0,0
REL1,80,180,0,0,0,0,0,0
REL1,100,180,0,0,0,0,0,0
REL1,120,180,0,0,0,0,0,0
REL1,140,180,0,0,0,0,0,0
REL1,160,180,0,0,0,0,0,0
REL1,180,180,0,0,0,0,0,0
REL1,200,180,0,0,0,0,0,0
REL2,40,180,0,0,0,0,0,0
REL2,60,180,0,0,0,0,0,0
REL2,80,180,0,0,0,0,0,0
REL2,100,180,0,0,0,0,0,0
REL2,120,180,0,0,0,0,0,0
REL2,140,180,0,0,0,0,0,0
REL2,160,180,0,0,0,0,0,0
REL2,180,180,0,0,0,0,0,0
REL2,200,180,0,0,0,0,0,0
