term,SS,eta_squared,analysis
model,25.105917585898016,0.0025997464282824802,PSE Final Error
pse_true_z,0.017324143731560732,1.7939348615752398e-6,PSE Final Error
jnd_true_z,1976.0130580131938,0.20461840807980936,PSE Final Error
Residuals,7655.927678794581,0.7927800515570466,PSE Final Error
model,11.734780113180447,5.247767158183783e-4,JND Final Error
pse_true_z,0.5328206274970833,2.3827618099477485e-5,JND Final Error
jnd_true_z,6145.305505038837,0.2748166739837481,JND Final Error
Residuals,16203.89942045539,0.7246347216823341,JND Final Error
model,10.399094722528128,0.005248193318782135,PSE Stability Point
pse_true_z,10.407227718960392,0.005252297862367552,PSE Stability Point
jnd_true_z,16.995393455335638,0.008577199531526324,PSE Stability Point
Residuals,1943.6601112260532,0.980922309287324,PSE Stability Point
model,13695.433114672916,0.014492185150804356,JND Stability Point
pse_true_z,31.841499562128433,3.369392579773421e-5,JND Stability Point
jnd_true_z,51.123243323765756,5.409741346287685e-5,JND Stability Point
Residuals,931243.5551577725,0.9854200235099351,JND Stability Point
model,2936024.6245502927,0.01851328559092735,PSE AUC
pse_true_z,1042927.2246300109,0.006576242378445997,PSE AUC
jnd_true_z,51977697.36386901,0.3277485984312852,PSE AUC
Residuals,102633494.61258936,0.6471618735993414,PSE AUC
model,8540102.941993274,0.03415917721551249,JND AUC
pse_true_z,173902.58646693054,6.955852066079864e-4,JND AUC
jnd_true_z,71683158.3438565,0.28672227089851926,JND AUC
Residuals,169611871.41893768,0.6784229666793603,JND AUC
