model,group,stimulus_center_mean,stimulus_center_sd,stimulus_spread_mean,stimulus_spread_sd,pse_true,jnd_true
ABS1,G1,479.3895,5.025282893320011,27.5005,3.6965595312967774,478,18
ABS1,G2,478.2265,9.309684982516016,48.6315,5.79147674559234,478,38
ABS1,G3,479.242,10.5769578752464,69.077,9.50172233694613,478,58
ABS1,G4,499.9275,3.6209098522187415,27.363,3.7502282035827323,498,19
ABS1,G5,501.391,6.362850155807785,48.1435,5.76985293527806,498,38
ABS1,G6,502.8085,11.022691081773566,68.881,9.108578894299825,498,60
ABS1,G7,521.5515,2.937107913362535,26.8295,3.384762255508618,519,18
ABS1,G8,522.096,8.508545178385775,47.4,5.961813570771194,518,38
ABS1,G9,521.9855,10.292417482378896,69.953,9.952495111647552,518,61
REL1,G1,500.031,1.2053298303783873,38.786,3.4606272628862502,478,18
REL1,G2,500.1535,1.539891571712621,59.9025,6.049761087061728,478,38
REL1,G3,499.5615,1.9014600345939165,81.5075,8.454037886060565,478,58
REL1,G4,499.8075,1.0120686215552968,33.685,4.993169545014785,498,19
REL1,G5,500.118,1.069405146995771,57.6495,8.144930276590852,498,38
REL1,G6,499.797,1.8312897382072466,78.6995,7.592553467569046,498,60
REL1,G7,499.016,1.2883992516215474,39.1665,3.1801775438686297,519,18
REL1,G8,499.2875,1.7616017681285663,61.834,9.490308297360386,518,38
REL1,G9,499.1295,1.3848635691876603,84.957,11.43875595922637,518,61
REL2,G1,483.9225,3.125425234226029,41.9765,2.8903383065509467,478,18
REL2,G2,484.58,5.3914054412165076,60.16,4.451751872784703,478,38
REL2,G3,484.508,9.26782016044311,82.5555,8.121684084500027,478,58
REL2,G4,499.0935,3.5115587706885973,39.7945,2.2450799423112806,498,19
REL2,G5,496.9055,5.260563783073971,62.6145,4.767090555928327,498,38
REL2,G6,500.91949999999997,8.803539643981722,79.539,7.697711826797693,498,60
REL2,G7,514.609,3.1491032975987636,41.3525,2.255850580624804,519,18
REL2,G8,515.477,6.055851541669165,59.956,5.582418264892961,518,38
REL2,G9,515.3095,11.918544804763608,84.5325,8.48437379446536,518,61
